sample_idx,mode,mae,nmse,cosine
85,pred,0.40902429819107056,0.5702384114265442,0.6705614328384399
86,outdated,0.536625862121582,0.49933451414108276,0.7927864789962769
86,pred,0.4827250838279724,0.44448739290237427,0.7778112888336182
87,outdated,0.9326528310775757,3.8826184272766113,0.34815850853919983
87,pred,0.7111479043960571,2.263995409011841,0.31972211599349976
88,outdated,0.7645883560180664,2.0637502670288086,0.5426653027534485
88,pred,0.6342036128044128,1.5526186227798462,0.5632522106170654
89,outdated,0.7133678197860718,1.0131263732910156,0.442404568195343
89,pred,0.6585174202919006,0.8801249861717224,0.45793232321739197
90,outdated,0.8051015138626099,1.1710628271102905,0.4264630377292633
90,pred,0.7609542012214661,1.0645300149917603,0.3904377520084381
91,outdated,0.9155126810073853,1.5948320627212524,0.15115231275558472
91,pred,0.82964026927948,1.1946955919265747,0.18434076011180878
92,outdated,0.7640551328659058,2.032153367996216,0.5632873773574829
92,pred,0.581706166267395,1.337481141090393,0.5613847374916077
93,outdated,0.6062481999397278,1.5426650047302246,0.6825692653656006
93,pred,0.5572839975357056,1.1946239471435547,0.7133792042732239
94,outdated,0.5069146156311035,1.807029128074646,0.44176602363586426
94,pred,0.4602302312850952,1.461969256401062,0.44180920720100403
95,outdated,0.6275132894515991,1.2756848335266113,0.8278204798698425
95,pred,0.5139094591140747,0.8308649063110352,0.7352609634399414
96,outdated,0.9439513683319092,2.282658100128174,0.32954296469688416
96,pred,0.8089706897735596,1.5838302373886108,0.2901354730129242
97,outdated,0.7604372501373291,1.1890580654144287,0.5193668603897095
97,pred,0.6869304776191711,1.0357518196105957,0.4013333022594452
98,outdated,0.5187702775001526,0.3774789869785309,0.7951545715332031
98,pred,0.5996719002723694,0.437325656414032,0.7945101857185364
99,outdated,0.6322716474533081,1.1912239789962769,0.6512517929077148
99,pred,0.5093297958374023,0.8202346563339233,0.645135223865509
100,outdated,0.4357607960700989,0.5411206483840942,0.8474161624908447
100,pred,0.3914613127708435,0.4220487177371979,0.8524680137634277
101,outdated,0.6156319379806519,0.8325832486152649,0.5935455560684204
101,pred,0.5339826941490173,0.749821662902832,0.6082432866096497
102,outdated,0.917081356048584,3.933767318725586,0.39182883501052856
102,pred,0.7552807331085205,2.6555962562561035,0.34099262952804565
103,outdated,0.671070396900177,0.7860442996025085,0.48845168948173523
103,pred,0.6805338859558105,0.7587043642997742,0.5174327492713928
