mode,layer,class_name,base_rel_l2,target_rel_l2,diff_rel_l2,base_mae,target_mae,diff_mae,base_mse,target_mse,diff_mse,base_cosine,target_cosine,diff_cosine,base_samples,target_samples
pred,p3,car,0.6122782455297444,0.6148872452643875,0.002608999734643125,0.5484643692314375,0.5319629166914329,-0.01650145254000457,0.6248066976420955,0.5886226963177791,-0.03618400132431643,0.7142256162846344,0.7118828035705961,-0.002342812714038356,478,478
pred,p3,motorcycle,0.6651702140287686,0.6333917695027526,-0.03177844452601608,0.49942651310915587,0.4678761689092523,-0.031550344199903546,0.4927277698391868,0.4355193384752799,-0.05720843136390691,0.6807339562163237,0.7114361821052929,0.030702225888969203,93,93
pred,p3,person,0.639074420431011,0.6256430313139782,-0.013431389117032788,0.47449535187194475,0.4513414282714042,-0.023153923600540527,0.4694658848817026,0.4232098452811898,-0.04625603960051278,0.6984319699779524,0.7145004096879923,0.016068439710039906,401,401
pred,p3,rider,0.6730539933612696,0.6479110191226477,-0.025142974238621885,0.49656102338091657,0.47237821724339435,-0.024182806137522217,0.5107575318860736,0.4649222800618575,-0.04583525182421616,0.6665420108548413,0.6892882918261669,0.022746280971325583,253,253
pred,p3,train,0.6344962147149172,0.6057332903146744,-0.028762924400242862,0.5594230185855519,0.5298932133750482,-0.029529805210503635,0.6197005727074363,0.5618814819238402,-0.05781909078359604,0.7216880104758523,0.7443530613725836,0.02266505089673132,22,22
pred,p3,truck,0.705018637701869,0.676215915568173,-0.028802722133696057,0.5740623624995351,0.5430697714909911,-0.030992591008544013,0.6515787452459335,0.5912722304463387,-0.06030651479959481,0.6502674044982996,0.6709555667825043,0.02068816228420478,80,80
pred,p4,bicycle,0.6865822387651014,0.6727818109747866,-0.013800427790314762,0.5433659886215388,0.5084404032058406,-0.034925585415698235,0.5937069251182351,0.5234717507171375,-0.07023517440109761,0.652607184477443,0.6769800686257753,0.024372884148332274,331,331
pred,p4,bus,0.6859877882401149,0.6866072748104731,0.000619486570358263,0.6023724170525869,0.5888139966130257,-0.013558420439561236,0.7156101723512014,0.7017879241953293,-0.013822248155872074,0.6514138794690371,0.6474016081914306,-0.004012271277606505,75,75
pred,p4,car,0.6299775082103628,0.6347497372759436,0.004772229065580835,0.5755421314622319,0.5475787813755758,-0.02796335008665607,0.6780076634750611,0.6182939464822568,-0.059713716992804367,0.6951537982299613,0.6942864133665634,-0.0008673848633978798,478,478
pred,p4,motorcycle,0.6570985408559922,0.629203303366579,-0.02789523748941314,0.5133974699563878,0.4682441161524865,-0.045153353803901286,0.5119733379012154,0.42596613407455464,-0.08600720382666072,0.6927225622799127,0.7268571394585794,0.03413457717866675,93,93
pred,p4,person,0.6387838617598921,0.620170658254564,-0.018613203505328135,0.47866952317091,0.44332948330780514,-0.035340039863104855,0.4651331788514209,0.3991603372302696,-0.0659728416211513,0.7026402619231883,0.7282903047134528,0.025650042790264505,401,401
pred,p4,rider,0.6636362543160265,0.635223644406428,-0.028412609909598485,0.49939660704418604,0.46223712802345573,-0.0371594790207303,0.5030061990803056,0.4349713069276347,-0.06803489215267094,0.6808355071732826,0.713225150812167,0.03238964363888441,253,253
pred,p4,train,0.6699280427260832,0.6365712163123217,-0.033356826413761476,0.5934552218426358,0.5547593154690482,-0.03869590637358755,0.6953823317519643,0.6117852955040607,-0.0835970362479036,0.6782881505787373,0.7138421589677985,0.0355540083890612,22,22
pred,p4,truck,0.7108299730345606,0.6743168724700809,-0.03651310056447976,0.5788131793960929,0.5406132977455854,-0.03819988165050747,0.6617633253335953,0.5824617711827159,-0.07930155415087936,0.6436014071688987,0.6785707822069525,0.03496937503805386,80,80
pred,p5,bicycle,0.7100440292560082,0.7089376895719425,-0.0011063396840657047,0.48348345427444694,0.4585434488749576,-0.024940005399489318,0.4585072865985401,0.4114094451913931,-0.04709784140714701,0.6555357469890121,0.6718900488728933,0.016354301883881206,331,331
